id,landslide_type,trigger,fatality_count,injuries,location_accuracy(km),landslide_size,distance,population,latitude,longitude
257,15,20,14,0,25,1,13.63939,0,27.2667,85.9667
1144,15,10,0,0,10,0,13.62589,15000,-33.35,-70.5167
193,35,20,0,0,5,0,13.62525,51320,43.6796,-91.2194
4002,15,10,0,0,5,1,13.62496,94188,24.634,121.7541
4172,15,10,0,0,5,0,13.62463,1190,-28.5358,153.3923
4848,15,20,0,0,5,0,13.61141,20046,24.0896,91.4663
3198,15,10,0,0,5,0,13.60254,2681,36.8693,-80.6597
1147,15,10,0,0,5,0,13.6015,1296,56.1956,-4.7485
3029,5,10,0,0,5,0,13.59298,4935,45.4842,-123.6748
1245,15,80,0,0,5,0,13.58881,2195,17.5632,121.218
6084,15,20,0,0,5,0,13.58691,37543,9.9983,76.7329
5556,15,70,0,0,25,-1,13.56506,228212,4.3036,113.9573
3485,15,20,0,0,0,0,13.5646,0,35.3143,74.1937
2380,15,10,0,0,5,0,13.5594,2571,30.4008,79.0278
5247,15,0,0,0,15,0,13.53996,25500,37.6177,138.754
3033,15,20,8,0,0,0,13.53638,459,60.3751,6.477
4239,5,20,0,0,5,-1,13.52866,1256,38.045,-82.1423
3905,15,20,0,0,50,0,13.5202,4734,30.2828,78.3041
3453,15,10,41,0,25,0,13.51543,0,-2.7571,121.0874
3420,15,10,14,0,1,-1,13.50916,61696,-39.6412,177.0065
5894,45,0,0,0,5,1,13.50895,405,44.1867,7.1583
5082,15,20,0,0,0,0,13.50122,0,34.3887,106.922
2689,15,80,0,0,15,0,13.48919,3734,9.6341,-84.3662
3441,15,10,0,0,5,0,13.48426,2184,36.9118,-92.0833
4287,15,20,0,0,5,-1,13.48091,1133,42.6439,-124.4077
2186,5,20,7,0,5,-1,13.47828,1344,39.9243,-111.5443
2528,5,10,0,0,0,0,12.13199,442156,18.4468,-72.4577
1818,5,10,56,0,1,-1,13.47073,3459,37.9065,-82.907
6804,15,0,0,2,50,0,13.4555,3278,33.3376,75.1922
2130,15,10,0,0,25,0,13.45203,0,35.1719,106.5255
4952,15,20,19,2,0,1,13.44292,0,28.4513,82.2801
1010,5,10,0,0,1,-1,13.41471,1463,37.9137,-79.4305
6033,15,20,0,3,15,-1,13.4138,6774,7.9978,122.8157
4390,15,10,3,0,10,1,13.41369,86406,23.8466,120.9889
696,35,80,47,0,50,0,13.40609,0,22.2666,104.07
3167,15,10,0,0,50,0,13.40535,1283,7.5955,-80.38
198,15,80,0,0,0,0,13.39817,2006,15.6046,-90.0853
6366,45,0,0,0,5,-1,13.39445,2695,45.2004,-122.2189
3862,15,20,0,0,0,0,13.38568,0,-0.5713,101.3782
2009,15,10,0,0,25,0,13.37783,3834,42.7845,26.945
2230,5,20,1,0,1,-1,13.35752,8227,46.6637,-111.7619
5842,5,0,1,0,20,0,13.34216,3255,37.5455,-82.7779
4083,5,10,0,0,5,-1,13.34116,35000,10.5133,-61.2714
3171,15,10,1,0,15,0,13.33019,20553,33.2257,75.6695
6004,5,20,0,0,5,-1,13.32465,3255,37.5457,-82.7778
5653,5,0,0,0,1,0,13.31637,1638,38.1077,-81.4493
768,15,10,3,0,50,1,13.31591,22903,27.4385,87.0898
4945,15,10,9,0,50,0,13.31496,18317,29.722,80.5118
2804,15,10,0,0,5,-1,13.31419,6441,48.6223,-122.4446
2247,15,10,0,0,10,0,13.31188,33748,26.148,94.8422
1505,15,10,0,0,10,0,13.31157,215803,-6.6279,107.3461
2381,15,10,0,0,5,0,13.30662,1100,-36.8415,147.2468
4561,15,10,0,0,5,0,13.30452,44632,27.5684,85.2254
4997,15,10,23,0,1,0,13.29812,5427,28.3536,82.3997
1381,15,10,0,0,10,2,13.29411,153635,-23.1077,-44.248
1542,15,10,0,0,25,0,13.27948,12400,-1.1667,29.6667
404,15,20,14,0,25,-1,13.27727,30097,4.6401,114.4396
2128,15,80,0,0,25,0,13.272,0,22.6966,104.5595
6225,5,10,20,0,25,0,13.26792,1242,33.0677,75.1466
5906,5,10,0,0,20,1,13.2554,1027,34.6218,-118.5585
5209,15,20,0,0,25,0,13.25369,17123,30.6539,78.3366
2245,15,10,0,0,5,0,13.25355,0,31.0176,103.4846
3399,15,10,4,0,50,0,13.24907,25775,7.0808,80.7354
3712,15,10,6,0,0,0,13.24717,91733,27.7394,83.5754
6361,15,20,3,0,0,0,13.24191,6755,34.1093,73.9067
3688,15,20,0,0,0,0,13.24144,91733,27.7395,83.5753
4339,5,10,0,0,50,0,13.21872,1191,46.79,-120.8718
6674,45,0,0,0,25,-1,13.21139,276964,-2.847,-79.1108
2112,15,10,0,0,0,0,13.20788,1464,27.5509,88.6475
2129,15,10,0,0,0,0,13.19779,138622,22.2931,103.9618
5163,15,10,2,0,5,0,13.19266,21867,27.9196,83.8799
5207,15,10,2,0,0,2,13.18091,0,34.6987,105.7155
651,15,10,0,0,50,0,13.1795,0,0.4,124.1
6774,15,30,0,0,25,0,13.17524,7393,41.8601,24.4277
5070,5,20,1,0,5,0,13.17259,2193,37.9532,-104.9848
5302,15,10,0,0,5,0,13.17179,23296,28.3742,83.5214
5191,5,10,0,0,5,-1,13.16549,2450,40.6937,-105.2659
4252,15,0,0,0,5,0,13.157,2020,36.4174,-84.283
5272,15,100,6,0,1,0,13.15534,34021,26.2083,94.5438
2730,15,10,0,0,25,0,13.14788,0,15.1029,108.5747
3175,5,10,3,0,1,0,13.11943,1241,36.0378,-81.5949
2027,15,10,0,0,5,-1,13.11084,2617,38.7275,-106.167
331,25,20,0,0,10,0,13.10709,1296,56.1997,-4.823
1420,15,10,0,0,0,0,13.09763,30481,-17.9642,-65.4614
3377,15,10,0,0,0,1,13.08864,22871,-7.7819,112.3245
1640,15,10,1,0,1,0,13.07783,0,-22.9012,-42.9548
5101,15,20,0,0,50,0,13.07032,39058,28.0583,82.402
4564,15,10,3,0,15,0,13.06348,29691,35.9196,128.2829
3233,15,20,17,0,50,0,13.05933,2151,45.7413,-123.1988
2074,15,10,0,0,15,0,13.05683,0,28.2929,82.2617
1567,5,10,8,0,5,-1,13.05284,6397,38.9632,-82.7353
4044,15,10,0,0,50,2,13.05015,1873,1.8509,34.8863
4799,15,20,0,0,5,0,13.04676,4319,-0.8012,36.9613
2469,15,10,0,0,25,0,13.04565,1701,30.9009,77.4668
2407,15,40,0,0,10,0,13.03586,2172,-42.4635,173.5421
4455,15,10,0,0,1,0,13.02782,1794,39.3745,-106.3146
788,15,10,0,0,10,0,13.0277,44632,27.7167,85.15
6430,5,10,10,0,5,0,13.02571,51367,34.0873,-116.9176
1083,5,80,1,0,25,1,13.0254,0,23.4575,120.5742
3609,15,10,0,0,0,0,13.02514,31735,14.0354,74.6624
5476,15,20,0,0,25,0,13.01721,30700,27.3736,88.7323
1283,5,20,0,0,1,0,13.01275,120447,3.2711,101.6826
2626,15,80,0,0,25,0,13.01191,2195,17.5541,121.2368
714,15,20,1,0,50,0,13.00939,59841,27.163,94
3406,5,10,10,0,1,0,12.99718,4582,39.1653,-82.8435
1441,5,10,0,0,1,-1,12.98377,2633,34.1933,-112.1327
5006,15,10,5,0,1,0,12.97304,54010,26.1147,94.3864
2392,15,10,0,0,10,0,12.9691,30700,27.3702,88.7334
5360,15,20,0,0,5,0,12.96409,2000,30.3642,79.3158
1439,5,10,6,0,1,-1,12.95887,1128,33.4685,-117.001
5498,25,10,1,0,25,0,12.9509,1470,39.2751,-111.1903
6121,15,10,0,2,50,0,12.94968,0,-3.814,136.3632
5809,15,30,3,0,5,0,12.93852,7860,51.571,-4.2883
4491,5,10,0,0,5,0,12.93443,51367,34.0884,-116.9194
1385,15,10,0,0,50,0,12.93346,0,10.1,125.6
2455,15,10,0,0,10,0,12.91945,66390,30.1035,78.4265
6798,15,30,0,0,10,0,12.91922,0,35.7497,71.7059
2196,5,10,49,0,5,0,12.91655,200000,28.2598,84.0999
194,5,20,0,0,5,0,12.91337,51320,43.689,-91.2806
228,5,20,0,0,1,0,12.89915,1788,35.7297,-106.713
1864,15,10,0,0,1,0,12.89838,2005,36.3085,74.8219
350,15,20,0,0,50,0,12.89825,0,35.978,103.685
1722,15,10,1,0,1,0,12.88639,6023699,-23.0011,-43.2747
4837,15,20,0,0,5,0,12.88531,18228,35.9974,-81.6384
5495,5,10,2,0,5,0,12.88203,0,8.6771,98.2938
4977,15,20,5,0,15,0,12.86889,5911,43.1674,-91.1351
